campaignid,campaignname,channel,totalcost,impressions,clicks,conversions,startdate,enddate
CAMP0001,Back to School 1,Snapchat,38744.84,755420,31001,678,2025-04-13,2025-08-01
CAMP0002,Winter Health 2,Meta,49188.71,687671,13591,594,2025-02-11,2025-05-12
CAMP0003,Winter Health 3,Google,35945.42,1722056,79978,3760,2025-07-22,2025-11-03
CAMP0004,Vitamins Push 4,Snapchat,37319.04,1008922,73167,3262,2025-05-18,2025-08-02
CAMP0005,Vitamins Push 5,Snapchat,24077.46,611566,37624,1352,2025-01-03,2025-01-14
CAMP0006,Vitamins Push 6,TikTok,38043.5,1785072,141544,4498,2025-09-09,2025-12-02
CAMP0007,Winter Health 7,Meta,49639.49,1812462,92077,2112,2025-05-04,2025-07-05
CAMP0008,Vitamins Push 8,Meta,38451.3,681168,31088,620,2025-02-06,2025-02-19
CAMP0009,Summer Wellness 9,Snapchat,37834.6,1897328,64674,1270,2025-06-02,2025-09-05
CAMP0010,Skincare Promo 10,Meta,13722.07,1317926,102811,2175,2025-03-13,2025-04-06
CAMP0011,Ramadan Sale 11,TikTok,4572.63,171754,5526,159,2025-03-25,2025-07-02
CAMP0012,Winter Health 12,Meta,21316.57,1132845,54460,2296,2024-10-21,2024-11-22
CAMP0013,Ramadan Sale 13,Meta,24271.39,801750,14196,523,2024-12-19,2025-03-31
CAMP0014,Skincare Promo 14,TikTok,29840.27,980337,75584,2019,2025-05-08,2025-07-15
CAMP0015,Skincare Promo 15,Meta,32364.58,61559,1516,54,2024-12-03,2025-01-23
CAMP0016,Ramadan Sale 16,TikTok,28892.79,940926,58946,1563,2024-09-23,2024-10-23
CAMP0017,Vitamins Push 17,Meta,46064.32,1680435,88642,2914,2025-06-14,2025-09-21
CAMP0018,Ramadan Sale 18,Google,39050.87,1504692,116479,1814,2024-09-19,2024-10-24
CAMP0019,Summer Wellness 19,Google,43617.94,1612835,128897,3085,2025-02-25,2025-03-27
CAMP0020,Summer Wellness 20,Snapchat,43641.99,208795,15409,364,2025-03-13,2025-04-24
CAMP0021,Ramadan Sale 21,Google,42479.0,1295378,27841,1267,2024-12-12,2025-02-24
CAMP0022,Skincare Promo 22,Google,14541.39,17550,238,6,2025-05-18,2025-07-08
CAMP0023,Vitamins Push 23,Meta,45419.79,342426,15531,273,2025-02-05,2025-04-13
CAMP0024,Summer Wellness 24,Snapchat,43811.77,29024,916,38,2025-01-28,2025-04-19
CAMP0025,Winter Health 25,TikTok,19293.9,220264,8780,338,2024-12-30,2025-03-21
CAMP0026,Summer Wellness 26,Meta,6434.17,319873,20651,639,2025-03-10,2025-03-24
CAMP0027,Skincare Promo 27,TikTok,45546.71,667936,24723,541,2024-10-28,2024-11-30
CAMP0028,Back to School 28,Google,34890.68,1108596,75030,1383,2024-12-12,2025-01-10
CAMP0029,Winter Health 29,Meta,42849.84,1151636,46935,1955,2024-12-21,2025-03-14
CAMP0030,Summer Wellness 30,Snapchat,20962.89,1966451,140126,2574,2025-05-27,2025-07-23
CAMP0031,Back to School 31,Meta,13716.18,1796626,87653,1238,2025-02-27,2025-03-11
CAMP0032,Skincare Promo 32,TikTok,48437.47,329289,15144,723,2025-09-06,2025-10-13
CAMP0033,Summer Wellness 33,TikTok,16956.63,112973,5206,236,2025-04-21,2025-08-06
CAMP0034,Back to School 34,Snapchat,29406.23,1334746,21784,961,2025-05-14,2025-06-22
CAMP0035,Summer Wellness 35,Meta,43205.49,1435669,17830,687,2025-07-27,2025-08-10
CAMP0036,Summer Wellness 36,Google,20633.08,502554,32064,1583,2025-02-05,2025-03-06
CAMP0037,Skincare Promo 37,Snapchat,19415.99,677216,21279,215,2025-04-18,2025-07-30
CAMP0038,Summer Wellness 38,Snapchat,23778.31,1926352,144187,2381,2025-03-04,2025-03-30
CAMP0039,Winter Health 39,Snapchat,5645.72,1766437,30535,686,2025-09-13,2025-11-24
CAMP0040,Back to School 40,Google,3746.48,1543257,121562,1428,2025-02-13,2025-05-26
CAMP0041,Summer Wellness 41,Google,10767.49,826769,59833,2013,2025-04-15,2025-06-14
CAMP0042,Summer Wellness 42,Google,23225.48,1294470,72760,3141,2025-06-03,2025-08-14
CAMP0043,Winter Health 43,Google,45632.68,1517969,55529,1171,2025-07-07,2025-08-22
CAMP0044,Vitamins Push 44,TikTok,20665.35,1040973,50173,2482,2025-04-19,2025-06-05
CAMP0045,Skincare Promo 45,Meta,45640.53,912978,31443,658,2025-06-15,2025-09-17
CAMP0046,Skincare Promo 46,Meta,18634.17,1567210,43563,568,2025-09-06,2025-11-10
CAMP0047,Vitamins Push 47,Google,34976.81,1595340,35109,384,2024-12-23,2025-02-15
CAMP0048,Skincare Promo 48,Google,49542.54,1349438,101355,2739,2025-08-29,2025-12-21
CAMP0049,Back to School 49,Google,14123.91,722650,19062,342,2025-05-23,2025-08-22
CAMP0050,Vitamins Push 50,TikTok,38670.05,544195,22777,460,2025-04-04,2025-05-26
CAMP0051,Vitamins Push 51,Meta,29019.53,1686968,119176,2587,2024-09-23,2024-10-21
CAMP0052,Winter Health 52,Meta,9517.48,1731111,112193,5162,2024-12-28,2025-03-30
CAMP0053,Vitamins Push 53,Snapchat,39734.64,389579,5192,259,2024-11-17,2025-03-14
CAMP0054,Ramadan Sale 54,Meta,7311.81,933769,66396,983,2024-12-07,2024-12-14
CAMP0055,Skincare Promo 55,TikTok,31149.31,358640,11975,276,2025-08-21,2025-12-14
CAMP0056,Vitamins Push 56,TikTok,37360.15,1504127,29346,565,2024-11-10,2024-11-25
CAMP0057,Winter Health 57,Snapchat,13453.27,528132,35534,595,2024-09-26,2025-01-07
CAMP0058,Vitamins Push 58,Meta,25344.51,1269033,47995,2348,2025-06-28,2025-10-13
CAMP0059,Winter Health 59,Meta,26279.76,600798,18443,355,2024-10-01,2025-01-23
CAMP0060,Summer Wellness 60,TikTok,19029.44,451422,23351,377,2024-11-14,2024-12-25
CAMP0061,Summer Wellness 61,Snapchat,37394.11,50176,1172,30,2025-08-31,2025-11-12
CAMP0062,Ramadan Sale 62,Google,15799.15,872904,48773,1753,2025-07-10,2025-09-30
CAMP0063,Winter Health 63,Snapchat,40982.64,707722,55359,1685,2025-04-27,2025-07-28
CAMP0064,Back to School 64,Google,18059.84,68157,4671,70,2025-07-15,2025-10-01
CAMP0065,Skincare Promo 65,TikTok,25434.88,229724,3251,65,2025-08-18,2025-10-25
CAMP0066,Ramadan Sale 66,TikTok,29474.62,495500,24656,711,2024-09-24,2024-10-10
CAMP0067,Back to School 67,Snapchat,42997.28,30731,370,8,2024-09-15,2024-10-24
CAMP0068,Winter Health 68,Snapchat,45937.12,1121400,42309,1699,2024-10-03,2024-12-11
CAMP0069,Back to School 69,Snapchat,39475.19,1265932,46187,1279,2025-03-04,2025-03-11
CAMP0070,Skincare Promo 70,TikTok,20165.39,131741,8395,118,2025-01-16,2025-02-25
CAMP0071,Vitamins Push 71,Google,28075.1,414667,16812,505,2024-11-13,2024-12-16
CAMP0072,Skincare Promo 72,Snapchat,42329.31,288415,18843,659,2024-10-01,2024-12-21
CAMP0073,Vitamins Push 73,Snapchat,12365.36,528136,33885,363,2025-07-16,2025-09-12
CAMP0074,Back to School 74,Snapchat,25191.26,935173,33799,904,2024-09-25,2024-11-26
CAMP0075,Ramadan Sale 75,Google,12417.36,1563077,26424,760,2025-06-05,2025-08-02
CAMP0076,Vitamins Push 76,TikTok,17124.75,558667,38210,761,2024-12-04,2024-12-19
CAMP0077,Skincare Promo 77,TikTok,20502.74,571264,11980,482,2024-12-24,2025-01-29
CAMP0078,Skincare Promo 78,Google,12041.26,1318871,83617,2841,2025-03-14,2025-04-20
CAMP0079,Skincare Promo 79,TikTok,4004.8,1380412,65722,1132,2025-03-20,2025-04-20
CAMP0080,Winter Health 80,TikTok,44223.87,618760,36715,490,2025-08-29,2025-09-16
CAMP0081,Winter Health 81,TikTok,42116.84,648751,27163,1062,2025-03-29,2025-05-09
CAMP0082,Skincare Promo 82,TikTok,43098.26,87470,2561,29,2024-11-16,2025-02-09
CAMP0083,Back to School 83,TikTok,27632.45,1274906,40417,948,2025-02-26,2025-06-23
CAMP0084,Back to School 84,TikTok,13184.69,817290,13555,244,2025-08-28,2025-11-27
CAMP0085,Summer Wellness 85,Snapchat,3019.37,995959,24293,1121,2025-02-20,2025-05-07
CAMP0086,Summer Wellness 86,Google,46280.62,1098188,77495,3286,2025-09-03,2025-10-17
CAMP0087,Summer Wellness 87,TikTok,48386.05,668026,26755,1220,2024-10-21,2024-12-02
CAMP0088,Vitamins Push 88,TikTok,43063.38,1922408,40963,1233,2025-07-22,2025-10-24
CAMP0089,Winter Health 89,TikTok,33764.27,1691657,25010,838,2025-02-08,2025-04-29
CAMP0090,Back to School 90,Snapchat,26302.43,389664,10213,413,2025-05-10,2025-06-25
CAMP0091,Vitamins Push 91,Google,14657.13,1811477,60189,1612,2024-12-03,2025-03-11
CAMP0092,Vitamins Push 92,Meta,20481.69,1707050,74076,3205,2025-06-24,2025-09-09
CAMP0093,Winter Health 93,Meta,42368.79,1240706,85366,2528,2025-06-20,2025-10-13
CAMP0094,Winter Health 94,Snapchat,45766.22,355201,9973,125,2024-10-04,2024-12-24
CAMP0095,Back to School 95,Google,32632.44,622795,10584,392,2024-09-22,2024-11-12
CAMP0096,Winter Health 96,Snapchat,44032.06,415381,17680,676,2025-05-20,2025-06-03
CAMP0097,Ramadan Sale 97,Meta,23875.19,883101,21392,529,2024-12-16,2025-02-02
CAMP0098,Back to School 98,TikTok,3046.33,1732979,32281,652,2024-10-30,2025-02-20
CAMP0099,Winter Health 99,Google,15007.2,650524,6608,260,2025-08-14,2025-11-24
CAMP0100,Vitamins Push 100,TikTok,19740.4,104656,2138,83,2025-07-13,2025-07-26
CAMP0101,Ramadan Sale 101,Google,23337.58,1283531,56525,1750,2024-11-18,2025-01-16
CAMP0102,Skincare Promo 102,Meta,37182.87,1065501,60009,2501,2025-03-28,2025-07-08
CAMP0103,Skincare Promo 103,TikTok,46348.69,1567430,45011,1324,2024-11-16,2025-02-22
CAMP0104,Summer Wellness 104,Meta,45014.21,796083,14364,419,2024-10-20,2025-01-11
CAMP0105,Skincare Promo 105,TikTok,21577.54,1738073,124085,4877,2025-04-25,2025-06-28
CAMP0106,Ramadan Sale 106,TikTok,42143.13,1482717,116372,2296,2024-10-07,2025-01-15
CAMP0107,Summer Wellness 107,TikTok,45669.74,1918950,27227,476,2024-09-20,2024-11-07
CAMP0108,Winter Health 108,Meta,19021.1,1507255,77331,3268,2025-02-05,2025-05-11
CAMP0109,Back to School 109,Google,28795.77,419027,25154,890,2025-09-12,2025-12-26
CAMP0110,Back to School 110,Snapchat,46562.56,1479348,16866,404,2025-08-13,2025-09-09
CAMP0111,Vitamins Push 111,Google,16088.82,431481,31509,815,2025-02-16,2025-05-21
CAMP0112,Back to School 112,TikTok,18901.89,1017255,65459,943,2025-09-13,2025-11-15
CAMP0113,Skincare Promo 113,TikTok,29631.35,1491899,91675,2526,2025-01-17,2025-02-06
CAMP0114,Skincare Promo 114,Snapchat,2444.99,1841539,121123,6054,2025-04-15,2025-05-14
CAMP0115,Back to School 115,Meta,29334.55,1283997,95239,1754,2024-09-26,2024-11-09
CAMP0116,Winter Health 116,Google,25379.88,1518459,58466,2766,2025-02-22,2025-03-18
CAMP0117,Skincare Promo 117,TikTok,3662.99,1558206,53511,1383,2025-05-10,2025-05-26
CAMP0118,Skincare Promo 118,Google,17291.23,657979,52436,1536,2025-04-27,2025-08-25
CAMP0119,Ramadan Sale 119,TikTok,4600.59,602990,22236,362,2025-01-17,2025-03-30
CAMP0120,Summer Wellness 120,Google,34738.56,924016,49365,2286,2025-02-25,2025-05-31
CAMP0121,Ramadan Sale 121,Snapchat,3575.1,1715280,39339,798,2025-08-11,2025-09-17
CAMP0122,Summer Wellness 122,TikTok,12868.88,1824324,35491,1512,2024-10-04,2024-10-18
CAMP0123,Summer Wellness 123,TikTok,20426.14,923156,35464,1285,2025-04-01,2025-05-14
CAMP0124,Ramadan Sale 124,Meta,37322.41,384886,11331,164,2024-10-27,2025-01-25
CAMP0125,Back to School 125,Snapchat,12620.22,479056,28307,774,2024-12-31,2025-04-12
CAMP0126,Vitamins Push 126,TikTok,28407.19,35221,1253,61,2025-08-10,2025-09-16
CAMP0127,Winter Health 127,Google,47771.42,960186,24681,620,2025-07-16,2025-08-20
CAMP0128,Back to School 128,TikTok,16237.4,706775,48238,695,2025-07-07,2025-09-04
CAMP0129,Vitamins Push 129,Google,23142.44,1551560,53287,550,2025-03-10,2025-05-19
CAMP0130,Skincare Promo 130,Snapchat,3733.66,845668,39925,547,2025-04-30,2025-06-13
CAMP0131,Skincare Promo 131,Snapchat,46562.54,1240355,62982,2114,2024-09-21,2024-12-06
CAMP0132,Summer Wellness 132,Meta,46773.32,676818,33361,1500,2024-11-12,2024-12-08
CAMP0133,Skincare Promo 133,Snapchat,22682.51,83383,3068,112,2025-06-10,2025-07-29
CAMP0134,Vitamins Push 134,Snapchat,6194.84,1688431,106870,4297,2024-11-17,2025-03-15
CAMP0135,Summer Wellness 135,Snapchat,5626.7,1236897,29750,997,2024-12-21,2025-01-29
CAMP0136,Skincare Promo 136,Google,42085.33,372090,15554,631,2025-06-04,2025-07-15
CAMP0137,Ramadan Sale 137,Snapchat,27438.1,51720,2939,79,2024-10-29,2025-01-07
CAMP0138,Skincare Promo 138,Google,11473.27,573807,22482,474,2025-07-30,2025-09-25
CAMP0139,Back to School 139,Google,17352.49,1978194,116701,2732,2025-02-05,2025-05-21
CAMP0140,Skincare Promo 140,Meta,8120.31,1425887,93196,3696,2025-01-26,2025-02-07
CAMP0141,Winter Health 141,Google,49050.79,15056,263,3,2024-12-17,2025-03-22
CAMP0142,Winter Health 142,TikTok,5470.48,1180986,56057,2444,2025-08-22,2025-12-06
CAMP0143,Winter Health 143,Snapchat,13820.41,1620726,105938,3881,2025-04-12,2025-06-28
CAMP0144,Summer Wellness 144,Google,40855.87,1885360,71887,2887,2025-07-19,2025-09-26
CAMP0145,Winter Health 145,Meta,2397.73,39790,1849,56,2025-09-04,2025-10-22
CAMP0146,Winter Health 146,Google,17825.62,1382343,101789,3243,2024-12-27,2025-01-08
CAMP0147,Ramadan Sale 147,Google,11244.33,602696,36082,1795,2025-09-01,2025-10-21
CAMP0148,Winter Health 148,Google,35354.15,1883143,25188,474,2025-03-05,2025-06-10
CAMP0149,Summer Wellness 149,TikTok,40897.22,1250064,64154,3108,2024-10-24,2024-11-23
CAMP0150,Skincare Promo 150,Google,6666.24,1481477,57835,629,2025-04-11,2025-06-10
CAMP0151,Skincare Promo 151,Google,9716.64,1855699,56307,2431,2025-02-05,2025-04-10
CAMP0152,Ramadan Sale 152,Meta,26274.57,322543,19157,592,2025-03-20,2025-06-07
CAMP0153,Skincare Promo 153,TikTok,39311.63,118159,4961,150,2025-04-30,2025-07-25
CAMP0154,Winter Health 154,Snapchat,30069.82,1457543,88482,3883,2024-11-11,2024-11-27
CAMP0155,Back to School 155,Google,43375.02,321711,3228,125,2025-05-22,2025-06-08
CAMP0156,Ramadan Sale 156,TikTok,19733.32,1450425,50440,1350,2025-07-14,2025-10-26
CAMP0157,Ramadan Sale 157,TikTok,42829.8,1937318,88846,969,2025-07-26,2025-08-29
CAMP0158,Winter Health 158,Snapchat,42769.5,645869,17088,632,2024-12-31,2025-03-20
CAMP0159,Back to School 159,Snapchat,33163.77,844531,24446,621,2025-08-24,2025-11-06
CAMP0160,Summer Wellness 160,Snapchat,11121.45,1871615,35771,681,2025-07-10,2025-11-02
CAMP0161,Back to School 161,Meta,49674.44,1883481,114746,2917,2024-12-05,2025-02-12
CAMP0162,Vitamins Push 162,Meta,21834.6,1881918,47480,2022,2024-11-26,2025-01-18
CAMP0163,Ramadan Sale 163,TikTok,14062.18,1151035,43486,458,2024-12-29,2025-04-10
CAMP0164,Ramadan Sale 164,Meta,29677.22,664923,47818,897,2025-08-26,2025-11-07
CAMP0165,Ramadan Sale 165,Snapchat,42339.16,1426267,78066,1882,2024-12-24,2025-03-08
CAMP0166,Winter Health 166,Google,30296.54,41829,1687,42,2025-03-01,2025-04-24
CAMP0167,Skincare Promo 167,Meta,19781.88,1929664,100059,2743,2025-07-03,2025-09-06
CAMP0168,Skincare Promo 168,Meta,13519.65,1140097,30231,714,2025-06-16,2025-08-22
CAMP0169,Ramadan Sale 169,Google,27556.32,1295600,80025,3999,2024-09-18,2024-12-30
CAMP0170,Ramadan Sale 170,TikTok,42081.33,1732162,108065,4992,2025-08-28,2025-09-24
CAMP0171,Skincare Promo 171,Google,6220.66,962841,43134,1156,2024-10-01,2024-10-11
CAMP0172,Winter Health 172,Snapchat,19417.02,1927161,21663,873,2025-02-28,2025-05-30
CAMP0173,Ramadan Sale 173,Snapchat,23831.9,1639371,58251,804,2025-05-27,2025-07-08
CAMP0174,Summer Wellness 174,Snapchat,35432.83,1312928,19858,953,2025-05-25,2025-06-24
CAMP0175,Summer Wellness 175,Google,41695.19,914257,62771,2778,2025-02-07,2025-04-14
CAMP0176,Summer Wellness 176,Google,44644.91,895058,49032,1435,2025-05-05,2025-07-11
CAMP0177,Summer Wellness 177,Meta,38055.48,1504074,112610,5056,2025-08-04,2025-11-03
CAMP0178,Ramadan Sale 178,Google,28462.6,1078072,29671,958,2025-01-17,2025-05-12
CAMP0179,Back to School 179,Google,40033.06,1357233,65470,1900,2025-01-16,2025-04-24
CAMP0180,Winter Health 180,Snapchat,32928.81,405080,28620,438,2025-04-22,2025-05-17
CAMP0181,Skincare Promo 181,Meta,47176.44,281941,5462,247,2025-07-10,2025-09-01
CAMP0182,Back to School 182,TikTok,23648.58,390545,16371,455,2025-05-07,2025-06-29
CAMP0183,Ramadan Sale 183,Google,9913.06,233662,13105,590,2024-12-21,2025-03-05
CAMP0184,Skincare Promo 184,Google,6790.76,1951063,58021,2890,2025-04-08,2025-06-09
CAMP0185,Skincare Promo 185,TikTok,11101.01,492959,25027,1016,2025-02-23,2025-06-01
CAMP0186,Back to School 186,Snapchat,10464.61,1653686,18367,523,2024-10-07,2024-11-19
CAMP0187,Summer Wellness 187,Meta,19688.3,1064801,69650,2793,2025-04-07,2025-06-10
CAMP0188,Vitamins Push 188,TikTok,29658.96,1524703,103767,1775,2024-09-29,2024-12-20
CAMP0189,Ramadan Sale 189,Meta,8278.51,1350014,18657,490,2025-04-04,2025-05-20
CAMP0190,Back to School 190,TikTok,30418.53,617778,23973,673,2025-01-29,2025-04-28
CAMP0191,Summer Wellness 191,Google,26951.24,1607430,80155,3102,2025-02-03,2025-03-09
CAMP0192,Summer Wellness 192,Google,43909.21,1833952,92052,1990,2024-11-01,2025-02-07
CAMP0193,Summer Wellness 193,Snapchat,48950.82,1238459,24093,927,2025-08-11,2025-09-01
CAMP0194,Ramadan Sale 194,TikTok,10299.99,1336568,44445,599,2024-10-26,2024-11-08
CAMP0195,Ramadan Sale 195,TikTok,12260.68,1032184,51574,1907,2025-07-05,2025-09-01
CAMP0196,Winter Health 196,TikTok,44400.37,750460,22847,1030,2024-11-29,2025-02-23
CAMP0197,Summer Wellness 197,TikTok,29369.23,1494783,65035,1050,2024-10-27,2025-01-22
CAMP0198,Skincare Promo 198,Google,4111.64,1515962,83584,936,2025-09-02,2025-12-18
CAMP0199,Summer Wellness 199,Snapchat,10539.48,1723367,66428,817,2025-02-12,2025-05-06
CAMP0200,Skincare Promo 200,Snapchat,6118.72,1034338,33756,679,2025-03-23,2025-04-12
CAMP0201,Winter Health 201,Google,29122.99,843698,34736,1437,2024-10-25,2025-01-29
CAMP0202,Vitamins Push 202,Google,2075.12,566099,30672,1158,2025-03-17,2025-05-28
CAMP0203,Skincare Promo 203,Snapchat,9518.08,375943,16490,358,2024-10-04,2025-01-01
CAMP0204,Summer Wellness 204,TikTok,22329.88,1485913,83428,3557,2024-10-31,2024-12-15
CAMP0205,Skincare Promo 205,Google,47592.84,734212,13250,378,2025-07-12,2025-10-02
CAMP0206,Summer Wellness 206,Snapchat,5069.4,1378464,34737,1401,2025-05-05,2025-06-07
CAMP0207,Skincare Promo 207,Snapchat,13136.66,916010,38866,1445,2024-10-03,2024-12-06
CAMP0208,Back to School 208,TikTok,12208.44,1904148,115301,4838,2025-07-09,2025-09-03
CAMP0209,Ramadan Sale 209,TikTok,17488.2,443726,25111,963,2025-09-09,2025-10-24
CAMP0210,Winter Health 210,TikTok,30764.74,548466,5523,194,2025-01-12,2025-01-28
