orderid,timestamp,productid,productname,category,quantity,grossvalue,discountvalue,costofgoodssold,customerid,city,locationid,channel,orderstatus,cart_abandoned,total_price
ORD000001,2025-07-26 13:37:09,P0023,Otrivin Nasal Spray Bottle,Cold & Flu,1,23.25,3.49,10.97,C00686,Dammam,E099,Mobile,Completed,0,19.76
ORD000002,2025-05-19 02:15:01,P0105,Pampers Baby Dry Pack - Store Brand,Baby Care,4,300.04,45.01,169.44,C00880,Khobar,E084,Mobile,Completed,0,255.03
ORD000003,2025-06-23 22:12:09,P0205,Gaviscon 200ml Pack - Store Brand,Gastrointestinal,3,104.7,10.47,41.67,C01164,Riyadh,E018,Web,Completed,1,94.23
ORD000004,2024-12-30 14:11:37,P0298,Aspirin 100mg Bottle - Store Brand - Store Brand,Pain Relief,2,7.72,0.39,2.92,C00768,Jeddah,E109,Retail,Cancelled,0,7.33
ORD000005,2025-04-26 07:27:01,P0008,Aspirin 100mg Bottle,Pain Relief,1,8.19,0.41,3.2,C00060,Jeddah,E023,Mobile,Completed,0,7.78
ORD000006,2025-04-02 12:24:17,P0345,Otrivin Nasal Spray Box - Store Brand - Store Brand - Store Brand,Cold & Flu,5,44.0,0.0,19.15,C00592,Medina,E029,Mobile,Completed,0,44.0
ORD000007,2025-01-03 22:01:08,P0182,Nivea Body Lotion 400ml Bottle - Store Brand - Store Brand,Personal Care,1,16.02,0.8,7.84,C00337,Jeddah,E067,Retail,Completed,1,15.22
ORD000008,2025-03-11 02:24:58,P0378,Mometasone Furoate 0.1% 15g Box - Store Brand - Store Brand,Dermatology,4,245.28,0.0,103.68,C00325,Riyadh,E084,Web,Completed,0,245.28
ORD000009,2024-10-13 11:48:55,P0006,Panadol Advance Box,Pain Relief,2,32.78,1.64,15.2,C00023,Jeddah,E049,Mobile,Completed,0,31.14
ORD000010,2025-04-28 06:32:33,P0310,Aspirin 100mg Pack - Store Brand,Pain Relief,1,5.69,0.28,1.8,C01109,Dammam,E067,Web,Completed,0,5.41
ORD000011,2025-04-05 03:00:19,P0198,Nivea Body Lotion 400ml Bottle - Store Brand,Personal Care,3,71.25,0.0,37.05,C00145,Riyadh,E065,Retail,Completed,0,71.25
ORD000012,2024-05-21 20:16:36,P0212,Mometasone Furoate 0.1% 15g Pack - Store Brand - Store Brand - Store Brand,Dermatology,2,54.24,5.42,49.86,C00956,Khobar,E028,Web,Completed,0,48.82
ORD000013,2025-08-18 11:13:30,P0390,Femibion Prenatal Pack - Store Brand,Vitamins,1,112.55,11.26,40.79,C00679,Medina,E093,Web,Completed,1,101.29
ORD000014,2024-09-02 15:03:15,P0357,Earol Ear Drops Pack - Store Brand - Store Brand - Store Brand - Store Brand - Store Brand,Ear Care,2,5.92,0.89,4.06,C00491,Riyadh,E003,Web,Completed,0,5.03
ORD000015,2024-07-05 14:41:10,P0286,Femibion Prenatal Box - Store Brand - Store Brand,Vitamins,2,150.58,0.0,80.18,C00651,Khobar,E115,Mobile,Completed,0,150.58
ORD000016,2024-08-09 19:23:27,P0168,Vicks VapoRub 50g Bottle - Store Brand,Cold & Flu,2,20.86,3.13,7.66,C00785,Riyadh,E077,Retail,Completed,0,17.73
ORD000017,2024-05-28 13:42:57,P0022,Otrivin Nasal Spray Pack,Cold & Flu,1,30.0,4.5,11.92,C00178,Medina,E112,Web,Completed,1,25.5
ORD000018,2025-07-02 15:41:36,P0024,Otrivin Nasal Spray Box,Cold & Flu,1,24.5,1.23,11.45,C00946,Khobar,E080,Mobile,Completed,0,23.27
ORD000019,2025-03-10 04:32:39,P0326,Band-Aid Assorted Box - Store Brand - Store Brand,First Aid,2,13.2,0.0,6.06,C00189,Mecca,E030,Web,Completed,0,13.2
ORD000020,2024-08-27 03:17:54,P0008,Aspirin 100mg Bottle,Pain Relief,2,16.38,2.46,6.4,C00893,Medina,E106,Web,Completed,1,13.92
